,id,company_name,update_day,quarter_change_percent
0,1,JG,2018-Quarter-3,nan
1,2,JG,2018-Quarter-4,5.335364446425128
2,3,JG,2019-Quarter-1,-4.9204006260299264
3,4,JG,2019-Quarter-2,-28.919330985146267
4,5,JG,2019-Quarter-3,-29.336190612332416
5,6,JG,2019-Quarter-4,-18.181815554616172
6,7,JG,2020-Quarter-1,-18.148148180853028
7,8,JG,2020-Quarter-2,-30.316745010363118
8,9,JG,2020-Quarter-3,-6.493500461665079
9,10,JG,2020-Quarter-4,143.05554589739592
10,11,JG,2021-Quarter-1,16.571426391601562
11,12,JG,2021-Quarter-2,-23.52941313966888
12,13,FEDU,2017-Quarter-4,nan
13,14,FEDU,2018-Quarter-1,-26.555554072062176
14,15,FEDU,2018-Quarter-2,-21.633892228311936
15,16,FEDU,2018-Quarter-3,-22.972970236247043
16,17,FEDU,2018-Quarter-4,-39.77443331817772
17,18,FEDU,2019-Quarter-1,-27.590514969223367
18,19,FEDU,2019-Quarter-2,3.4482725546372484
19,20,FEDU,2019-Quarter-3,1.1111167036458307
20,21,FEDU,2019-Quarter-4,-12.087913311531134
21,22,FEDU,2020-Quarter-1,-28.75000195577738
22,23,FEDU,2020-Quarter-2,-0.8771921569070333
23,24,FEDU,2020-Quarter-3,-42.65486684586038
24,25,FEDU,2020-Quarter-4,65.12346439855051
25,26,FEDU,2021-Quarter-1,26.168220342429226
26,27,FEDU,2021-Quarter-2,-25.925927234121126
27,28,JD,2014-Quarter-4,nan
28,29,JD,2015-Quarter-1,28.446389021818984
29,30,JD,2015-Quarter-2,12.538324872222265
30,31,JD,2015-Quarter-3,-23.705716941367996
31,32,JD,2015-Quarter-4,25.515865885541828
32,33,JD,2016-Quarter-1,-16.47170162095693
33,34,JD,2016-Quarter-2,-23.012868683378613
34,35,JD,2016-Quarter-3,27.433627737687615
35,36,JD,2016-Quarter-4,-2.4498465548331456
36,37,JD,2017-Quarter-1,22.938498208668843
37,38,JD,2017-Quarter-2,24.626034484324336
38,39,JD,2017-Quarter-3,-2.3748114191588976
39,40,JD,2017-Quarter-4,9.219988206916767
40,41,JD,2018-Quarter-1,-2.7283485196588004
41,42,JD,2018-Quarter-2,-3.5589853019278745
42,43,JD,2018-Quarter-3,-34.709679388230846
43,44,JD,2018-Quarter-4,-17.905134054949436
44,45,JD,2019-Quarter-1,42.94655695570635
45,46,JD,2019-Quarter-2,1.1451672161402422
46,47,JD,2019-Quarter-3,-6.926406513973345
47,48,JD,2019-Quarter-4,25.939176393916956
48,49,JD,2020-Quarter-1,13.551137370388348
49,50,JD,2020-Quarter-2,48.13609526187319
50,51,JD,2020-Quarter-3,27.748692043949745
51,52,JD,2020-Quarter-4,14.714433293532181
52,53,JD,2021-Quarter-1,-4.07974348632833
53,54,JD,2021-Quarter-2,-10.711282657643515
54,55,ZEPP,2018-Quarter-1,nan
55,56,ZEPP,2018-Quarter-2,-11.980682889756544
56,57,ZEPP,2018-Quarter-3,16.68496723432449
57,58,ZEPP,2018-Quarter-4,-8.65475133009754
58,59,ZEPP,2019-Quarter-1,34.088572673665716
59,60,ZEPP,2019-Quarter-2,-25.88326206412617
60,61,ZEPP,2019-Quarter-3,1.3264276109775528
61,62,ZEPP,2019-Quarter-4,21.292695896293914
62,63,ZEPP,2020-Quarter-1,9.03879034209328
63,64,ZEPP,2020-Quarter-2,-5.119082077420035
64,65,ZEPP,2020-Quarter-3,3.3414819243359335
65,66,ZEPP,2020-Quarter-4,-6.940063826983628
66,67,ZEPP,2021-Quarter-1,-9.322036980418238
67,68,ZEPP,2021-Quarter-2,-8.41121153806903
68,69,ZCMD,2020-Quarter-1,nan
69,70,ZCMD,2020-Quarter-2,-9.82906100469389
70,71,ZCMD,2020-Quarter-3,-20.379145446752936
71,72,ZCMD,2020-Quarter-4,-1.4880938653975229
72,73,ZCMD,2021-Quarter-1,16.616313046048784
73,74,ZCMD,2021-Quarter-2,-11.39895934611047
74,75,HLG,2015-Quarter-3,nan
75,76,HLG,2015-Quarter-4,0.10246135909139854
76,77,HLG,2016-Quarter-1,-9.416581711241097
77,78,HLG,2016-Quarter-2,-2.8248586352996554
78,79,HLG,2016-Quarter-3,-0.581397540895438
79,80,HLG,2016-Quarter-4,-14.035090752426711
80,81,HLG,2017-Quarter-1,15.374144928784856
81,82,HLG,2017-Quarter-2,-0.35377045507811355
82,83,HLG,2017-Quarter-3,127.92900193635391
83,84,HLG,2017-Quarter-4,132.50258695296307
84,85,HLG,2018-Quarter-1,63.1107689980107
85,86,HLG,2018-Quarter-2,7.022080443885966
86,87,HLG,2018-Quarter-3,-12.242548188553117
87,88,HLG,2018-Quarter-4,-28.206995487646775
88,89,HLG,2019-Quarter-1,-22.253805247660218
89,90,HLG,2019-Quarter-2,48.65499296936068
90,91,HLG,2019-Quarter-3,13.901971659720415
91,92,HLG,2019-Quarter-4,0.347043131562073
92,93,HLG,2020-Quarter-1,-12.416611764452027
93,94,HLG,2020-Quarter-2,-29.448927543178954
94,95,HLG,2020-Quarter-3,13.457710807805782
95,96,HLG,2020-Quarter-4,43.49922401313842
96,97,HLG,2021-Quarter-1,-16.730324612392934
97,98,HLG,2021-Quarter-2,-6.422018348623853
98,99,CXDC,2014-Quarter-4,nan
99,100,CXDC,2015-Quarter-1,-12.209295663443148
100,101,CXDC,2015-Quarter-2,26.931561450043837
101,102,CXDC,2015-Quarter-3,-28.69565383247707
102,103,CXDC,2015-Quarter-4,4.878055872057842
103,104,CXDC,2016-Quarter-1,-25.116281726026237
104,105,CXDC,2016-Quarter-2,-4.037270598939304
105,106,CXDC,2016-Quarter-3,42.71844562810142
106,107,CXDC,2016-Quarter-4,-11.564620627911301
107,108,CXDC,2017-Quarter-1,23.07692495793746
108,109,CXDC,2017-Quarter-2,-3.125001862645075
109,110,CXDC,2017-Quarter-3,0.2150484266578833
110,111,CXDC,2017-Quarter-4,-1.2875524623216772
111,112,CXDC,2018-Quarter-1,-9.782604752055557
112,113,CXDC,2018-Quarter-2,-21.686748787598464
113,114,CXDC,2018-Quarter-3,7.6923076923076925
114,115,CXDC,2018-Quarter-4,-52.285715511866975
115,116,CXDC,2019-Quarter-1,44.91018793309289
116,117,CXDC,2019-Quarter-2,-12.396701705658284
117,118,CXDC,2019-Quarter-3,-12.264145532507925
118,119,CXDC,2019-Quarter-4,-4.301077543014525
119,120,CXDC,2020-Quarter-1,-51.12359445213352
120,121,CXDC,2020-Quarter-2,31.034480396169464
121,122,CXDC,2020-Quarter-3,-0.8771921569070333
122,123,CXDC,2020-Quarter-4,-13.274334229301918
123,124,CXDC,2021-Quarter-1,9.183676696627934
124,125,CXDC,2021-Quarter-2,-6.542060656134582
125,126,LITB,2014-Quarter-4,nan
126,127,LITB,2015-Quarter-1,-23.040000915527344
127,128,LITB,2015-Quarter-2,-5.405400314712528
128,129,LITB,2015-Quarter-3,-44.17582735435455
129,130,LITB,2015-Quarter-4,13.385832980085853
130,131,LITB,2016-Quarter-1,-16.666666666666668
