date,date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-12-31,2014-12-31,36.36000061035156,36.88999938964844,37.790000915527344,36.209999084472656,343500
2015-01-02,2015-01-02,37.790000915527344,36.52000045776367,38.2599983215332,36.310001373291016,391700
2015-01-05,2015-01-05,37.029998779296875,37.38999938964844,38.779998779296875,36.31999969482422,461800
2015-01-06,2015-01-06,35.93000030517578,37.18000030517578,37.33000183105469,34.9900016784668,768100
2015-01-07,2015-01-07,38.869998931884766,37.0,39.59000015258789,37.0,513800
2015-01-08,2015-01-08,38.5,39.209999084472656,40.189998626708984,38.11000061035156,575800
2015-01-09,2015-01-09,41.45000076293945,39.0099983215332,41.9900016784668,38.599998474121094,1273600
2015-01-12,2015-01-12,37.9900016784668,41.349998474121094,41.689998626708984,37.75,981500
2015-01-13,2015-01-13,36.380001068115234,36.9900016784668,36.9900016784668,35.47999954223633,1942300
2015-01-14,2015-01-14,36.13999938964844,35.84000015258789,36.380001068115234,35.060001373291016,651000
2015-01-15,2015-01-15,35.709999084472656,36.04999923706055,36.540000915527344,35.220001220703125,888700
2015-01-16,2015-01-16,35.619998931884766,35.40999984741211,37.4900016784668,35.18000030517578,725700
2015-01-20,2015-01-20,36.11000061035156,35.5,36.5,35.22999954223633,412000
2015-01-21,2015-01-21,36.47999954223633,36.13999938964844,36.5,35.4900016784668,402500
2015-01-22,2015-01-22,35.72999954223633,36.709999084472656,37.31999969482422,35.4900016784668,304800
2015-01-23,2015-01-23,35.0,35.869998931884766,36.189998626708984,34.5,1393500
2015-01-26,2015-01-26,35.349998474121094,35.11000061035156,36.47999954223633,35.060001373291016,592200
2015-01-27,2015-01-27,36.02000045776367,35.0,36.88999938964844,35.0,766100
2015-01-28,2015-01-28,36.97999954223633,36.25,37.79999923706055,36.13999938964844,575500
2015-01-29,2015-01-29,35.93000030517578,37.0,37.0,35.459999084472656,415700
2015-01-30,2015-01-30,35.619998931884766,35.38999938964844,36.7400016784668,35.38999938964844,568700
2015-02-02,2015-02-02,34.88999938964844,35.77000045776367,35.88999938964844,34.689998626708984,362500
2015-02-03,2015-02-03,36.43000030517578,35.27000045776367,36.630001068115234,34.790000915527344,253500
2015-02-04,2015-02-04,35.939998626708984,36.279998779296875,36.709999084472656,35.75,340600
2015-02-05,2015-02-05,35.59000015258789,36.290000915527344,36.41999816894531,35.5,145700
2015-02-06,2015-02-06,35.29999923706055,35.4900016784668,35.790000915527344,35.119998931884766,200100
2015-02-09,2015-02-09,34.75,35.25,35.31999969482422,34.689998626708984,390600
2015-02-10,2015-02-10,37.16999816894531,35.040000915527344,37.20000076293945,35.0,717500
2015-02-11,2015-02-11,36.63999938964844,37.0099983215332,37.619998931884766,36.310001373291016,202800
2015-02-12,2015-02-12,36.79999923706055,36.83000183105469,36.97999954223633,36.279998779296875,204200
2015-02-13,2015-02-13,38.439998626708984,36.88999938964844,39.099998474121094,36.88999938964844,446300
2015-02-17,2015-02-17,38.849998474121094,38.20000076293945,38.880001068115234,37.400001525878906,338500
2015-02-18,2015-02-18,38.709999084472656,38.86000061035156,39.13999938964844,38.20000076293945,157700
2015-02-19,2015-02-19,39.0,38.470001220703125,39.0099983215332,37.439998626708984,373300
2015-02-20,2015-02-20,38.72999954223633,38.93000030517578,39.369998931884766,38.459999084472656,286700
2015-02-23,2015-02-23,38.869998931884766,38.75,39.20000076293945,38.2599983215332,422600
2015-02-24,2015-02-24,39.060001373291016,39.880001068115234,39.880001068115234,38.5,621600
2015-02-25,2015-02-25,38.79999923706055,38.939998626708984,39.349998474121094,38.36000061035156,314500
2015-02-26,2015-02-26,39.61000061035156,38.970001220703125,39.83000183105469,38.54999923706055,489900
2015-02-27,2015-02-27,38.189998626708984,39.709999084472656,39.709999084472656,37.88999938964844,300900
2015-03-02,2015-03-02,38.5099983215332,38.0099983215332,38.810001373291016,37.81999969482422,291800
2015-03-03,2015-03-03,38.400001525878906,38.349998474121094,39.689998626708984,38.02000045776367,607700
2015-03-04,2015-03-04,42.61000061035156,44.54999923706055,45.939998626708984,41.77000045776367,4591400
2015-03-05,2015-03-05,46.83000183105469,43.5,47.470001220703125,43.22999954223633,3068200
2015-03-06,2015-03-06,43.84000015258789,45.75,45.79999923706055,42.75,1814000
2015-03-09,2015-03-09,42.099998474121094,44.02000045776367,45.97999954223633,41.45000076293945,1636200
2015-03-10,2015-03-10,42.290000915527344,41.630001068115234,43.619998931884766,41.4900016784668,1053700
2015-03-11,2015-03-11,41.779998779296875,42.43000030517578,42.849998474121094,41.43000030517578,473900
2015-03-12,2015-03-12,41.689998626708984,41.65999984741211,42.25,40.95000076293945,627000
2015-03-13,2015-03-13,39.9900016784668,41.70000076293945,41.70000076293945,39.72999954223633,1018600
2015-03-16,2015-03-16,40.849998474121094,40.2599983215332,41.33000183105469,39.650001525878906,865100
2015-03-17,2015-03-17,40.790000915527344,42.09000015258789,42.099998474121094,40.279998779296875,515700
2015-03-18,2015-03-18,42.0099983215332,40.70000076293945,42.040000915527344,40.58000183105469,480800
2015-03-19,2015-03-19,42.54999923706055,42.0,43.029998779296875,41.810001373291016,518300
2015-03-20,2015-03-20,44.4900016784668,43.11000061035156,45.70000076293945,42.959999084472656,1374000
2015-03-23,2015-03-23,46.029998779296875,44.310001373291016,46.2400016784668,43.91999816894531,1190800
2015-03-24,2015-03-24,45.599998474121094,46.0,46.290000915527344,44.459999084472656,1203800
2015-03-25,2015-03-25,43.880001068115234,45.040000915527344,45.2400016784668,43.0,576900
2015-03-26,2015-03-26,43.2400016784668,42.939998626708984,43.849998474121094,42.77000045776367,571600
2015-03-27,2015-03-27,44.08000183105469,43.369998931884766,44.20000076293945,42.77000045776367,466500
2015-03-30,2015-03-30,43.470001220703125,44.7599983215332,45.13999938964844,42.79999923706055,441300
2015-03-31,2015-03-31,43.970001220703125,43.11000061035156,44.93000030517578,42.70000076293945,646800
2015-04-01,2015-04-01,44.029998779296875,43.790000915527344,44.880001068115234,43.27000045776367,288900
2015-04-02,2015-04-02,45.029998779296875,44.209999084472656,45.2400016784668,43.529998779296875,492500
2015-04-06,2015-04-06,45.939998626708984,45.099998474121094,46.02000045776367,44.939998626708984,1633100
