date,date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-12-31,2014-12-31,75.0,72.0,76.0,72.0,1080
2015-01-02,2015-01-02,78.0,75.0,78.0,75.0,443
2015-01-05,2015-01-05,75.0,76.0,77.0,75.0,411
2015-01-06,2015-01-06,73.0,76.0,79.0,72.0,1827
2015-01-07,2015-01-07,74.0,78.0,78.0,72.0,498
2015-01-08,2015-01-08,75.0,73.0,78.0,72.0,1063
2015-01-09,2015-01-09,75.0,79.0,79.0,72.0,575
2015-01-12,2015-01-12,77.0,75.0,79.0,73.0,1331
2015-01-13,2015-01-13,72.0,74.0,77.0,72.0,424
2015-01-14,2015-01-14,73.0,73.0,76.0,73.0,760
2015-01-15,2015-01-15,74.0,73.0,75.0,73.0,433
2015-01-16,2015-01-16,75.0,74.0,76.0,74.0,424
2015-01-20,2015-01-20,73.0,77.0,77.0,72.0,541
2015-01-21,2015-01-21,76.0,75.0,79.0,73.0,2972
2015-01-22,2015-01-22,72.0,75.0,77.0,72.0,3190
2015-01-23,2015-01-23,73.0,72.0,74.0,72.0,349
2015-01-26,2015-01-26,72.0,75.0,75.0,72.0,2096
2015-01-27,2015-01-27,74.0,75.0,76.0,72.0,718
2015-01-28,2015-01-28,73.0,75.0,76.0,73.0,413
2015-01-29,2015-01-29,74.0,75.0,77.0,73.0,459
2015-01-30,2015-01-30,73.0,75.0,77.0,73.0,273
2015-02-02,2015-02-02,74.0,73.0,76.0,73.0,762
2015-02-03,2015-02-03,73.0,76.0,76.0,73.0,1183
2015-02-04,2015-02-04,72.0,73.0,75.0,72.0,1604
2015-02-05,2015-02-05,72.0,72.0,75.0,72.0,1694
2015-02-06,2015-02-06,75.0,76.0,77.0,73.0,692
2015-02-09,2015-02-09,73.0,72.0,76.0,72.0,219
2015-02-10,2015-02-10,73.0,73.0,73.0,72.0,754
2015-02-11,2015-02-11,69.0,75.0,75.0,68.0,1262
2015-02-12,2015-02-12,71.0,73.0,73.0,70.0,335
2015-02-13,2015-02-13,70.0,73.0,73.0,69.0,517
2015-02-17,2015-02-17,71.0,69.0,73.0,69.0,235
2015-02-18,2015-02-18,71.0,69.0,72.0,69.0,595
2015-02-19,2015-02-19,71.0,72.0,72.0,70.0,258
2015-02-20,2015-02-20,72.0,69.0,72.0,69.0,289
2015-02-23,2015-02-23,72.0,71.0,73.0,70.0,491
2015-02-24,2015-02-24,71.0,71.0,73.0,71.0,781
2015-02-25,2015-02-25,88.0,72.0,89.0,70.0,2859
2015-02-26,2015-02-26,90.0,92.0,97.0,88.0,4708
2015-02-27,2015-02-27,91.0,90.0,94.0,90.0,693
2015-03-02,2015-03-02,110.0,94.0,113.0,94.0,5696
2015-03-03,2015-03-03,119.0,111.0,121.0,111.0,5557
2015-03-04,2015-03-04,125.0,121.0,125.0,115.0,4525
2015-03-05,2015-03-05,112.0,132.0,132.0,104.0,12033
2015-03-06,2015-03-06,113.0,111.0,114.0,109.0,1382
2015-03-09,2015-03-09,112.0,112.0,112.0,108.0,1311
2015-03-10,2015-03-10,109.0,111.0,111.0,107.0,1087
2015-03-11,2015-03-11,112.0,109.0,113.0,105.0,547
2015-03-12,2015-03-12,111.0,115.0,115.0,107.0,459
2015-03-13,2015-03-13,107.0,111.0,112.0,106.0,552
2015-03-16,2015-03-16,104.0,110.0,110.0,100.0,1041
2015-03-17,2015-03-17,103.0,102.0,107.0,102.0,644
2015-03-18,2015-03-18,107.0,101.0,112.0,101.0,1277
2015-03-19,2015-03-19,107.0,110.0,112.0,105.0,596
2015-03-20,2015-03-20,112.0,110.0,115.0,110.0,1633
2015-03-23,2015-03-23,110.0,112.0,117.0,108.0,1702
2015-03-24,2015-03-24,107.0,111.0,111.0,105.0,485
2015-03-25,2015-03-25,105.0,105.0,109.0,101.0,4255
2015-03-26,2015-03-26,103.0,102.0,105.0,101.0,775
2015-03-27,2015-03-27,102.0,102.0,105.0,102.0,432
2015-03-30,2015-03-30,101.0,103.0,103.0,101.0,828
2015-03-31,2015-03-31,102.0,103.0,103.0,101.0,1411
2015-04-01,2015-04-01,90.0,101.0,101.0,88.0,1559
2015-04-02,2015-04-02,90.0,91.0,94.0,89.0,728
2015-04-06,2015-04-06,91.0,93.0,94.0,91.0,357
2015-04-07,2015-04-07,92.0,93.0,94.0,92.0,176
2015-04-08,2015-04-08,93.0,92.0,95.0,92.0,455
2015-04-09,2015-04-09,100.0,96.0,103.0,95.0,1255
2015-04-10,2015-04-10,103.0,104.0,108.0,99.0,2968
2015-04-13,2015-04-13,112.0,103.0,112.0,103.0,2273
2015-04-14,2015-04-14,112.0,112.0,113.0,108.0,1485
2015-04-15,2015-04-15,108.0,112.0,113.0,105.0,1016
2015-04-16,2015-04-16,109.0,112.0,112.0,107.0,451
2015-04-17,2015-04-17,108.0,106.0,109.0,105.0,809
2015-04-20,2015-04-20,108.0,114.0,115.0,106.0,352
2015-04-21,2015-04-21,105.0,112.0,112.0,105.0,639
2015-04-22,2015-04-22,107.0,104.0,112.0,104.0,766
2015-04-23,2015-04-23,111.0,105.0,111.0,105.0,221
2015-04-24,2015-04-24,110.0,112.0,112.0,107.0,991
2015-04-27,2015-04-27,107.0,108.0,108.0,105.0,849
2015-04-28,2015-04-28,108.0,112.0,112.0,107.0,970
2015-04-29,2015-04-29,110.0,106.0,114.0,106.0,4058
2015-04-30,2015-04-30,110.0,110.0,112.0,108.0,1880
2015-05-01,2015-05-01,112.0,112.0,118.0,111.0,5766
2015-05-04,2015-05-04,115.0,113.0,116.0,113.0,3717
2015-05-05,2015-05-05,103.0,114.0,115.0,94.0,4734
2015-05-06,2015-05-06,101.0,105.0,105.0,100.0,1316
2015-05-07,2015-05-07,98.0,100.0,101.0,90.0,1973
2015-05-08,2015-05-08,99.0,100.0,100.0,96.0,528
2015-05-11,2015-05-11,100.0,100.0,101.0,98.0,592
2015-05-12,2015-05-12,99.0,101.0,101.0,98.0,537
2015-05-13,2015-05-13,100.0,102.0,102.0,100.0,318
2015-05-14,2015-05-14,97.0,98.0,100.0,95.0,652
2015-05-15,2015-05-15,97.0,96.0,99.0,95.0,187
2015-05-18,2015-05-18,96.0,97.0,98.0,94.0,934
2015-05-19,2015-05-19,93.0,95.0,95.0,91.0,749
2015-05-20,2015-05-20,86.0,90.0,92.0,83.0,1496
2015-05-21,2015-05-21,84.0,86.0,86.0,83.0,885
2015-05-22,2015-05-22,75.0,83.0,84.0,75.0,3189
2015-05-26,2015-05-26,80.0,75.0,84.0,75.0,2290
2015-05-27,2015-05-27,91.0,83.0,93.0,83.0,991
2015-05-28,2015-05-28,89.0,92.0,92.0,85.0,1012
2015-05-29,2015-05-29,85.0,91.0,91.0,83.0,912
2015-06-01,2015-06-01,82.0,82.0,85.0,81.0,874
2015-06-02,2015-06-02,83.0,80.0,85.0,78.0,2301
2015-06-03,2015-06-03,84.0,85.0,85.0,83.0,339
2015-06-04,2015-06-04,89.0,84.0,104.0,84.0,2644
2015-06-05,2015-06-05,92.0,89.0,100.0,85.0,1048
2015-06-08,2015-06-08,92.0,88.0,93.0,88.0,244
2015-06-09,2015-06-09,88.0,89.0,91.0,87.0,623
2015-06-10,2015-06-10,88.0,88.0,91.0,87.0,119
2015-06-11,2015-06-11,89.0,90.0,90.0,88.0,328
2015-06-12,2015-06-12,93.0,87.0,95.0,87.0,1291
2015-06-15,2015-06-15,95.0,89.0,97.0,88.0,922
2015-06-16,2015-06-16,92.0,96.0,96.0,87.0,281
2015-06-17,2015-06-17,90.0,92.0,94.0,87.0,600
2015-06-18,2015-06-18,90.0,88.0,91.0,88.0,180
2015-06-19,2015-06-19,87.0,93.0,93.0,87.0,421
2015-06-22,2015-06-22,87.0,89.0,89.0,87.0,102
2015-06-23,2015-06-23,89.0,91.0,91.0,84.0,917
2015-06-24,2015-06-24,91.0,84.0,91.0,84.0,236
2015-06-25,2015-06-25,89.0,90.0,90.0,88.0,509
2015-06-26,2015-06-26,88.0,90.0,91.0,87.0,247
2015-06-29,2015-06-29,83.0,85.0,88.0,83.0,542
2015-06-30,2015-06-30,83.0,84.0,87.0,83.0,293
2015-07-01,2015-07-01,84.0,81.0,90.0,81.0,131
2015-07-02,2015-07-02,83.0,87.0,90.0,79.0,678
2015-07-06,2015-07-06,80.0,80.0,82.0,77.0,409
2015-07-07,2015-07-07,74.0,77.0,77.0,68.0,992
2015-07-08,2015-07-08,72.0,73.0,75.0,70.0,301
2015-07-09,2015-07-09,77.0,75.0,84.0,75.0,245
2015-07-10,2015-07-10,82.0,77.0,82.0,77.0,87
2015-07-13,2015-07-13,80.0,83.0,84.0,77.0,580
2015-07-14,2015-07-14,81.0,83.0,83.0,78.0,214
2015-07-15,2015-07-15,81.0,78.0,81.0,78.0,96
2015-07-16,2015-07-16,78.0,81.0,81.0,78.0,179
2015-07-17,2015-07-17,82.0,81.0,84.0,78.0,259
2015-07-20,2015-07-20,82.0,79.0,87.0,79.0,168
2015-07-21,2015-07-21,82.0,81.0,84.0,81.0,113
2015-07-22,2015-07-22,81.0,82.0,84.0,81.0,202
2015-07-23,2015-07-23,81.0,81.0,84.0,80.0,150
2015-07-24,2015-07-24,78.0,81.0,81.0,78.0,84
2015-07-27,2015-07-27,73.0,78.0,78.0,73.0,397
2015-07-28,2015-07-28,72.0,72.0,83.0,71.0,469
2015-07-29,2015-07-29,73.0,76.0,78.0,73.0,152
2015-07-30,2015-07-30,75.0,72.0,76.0,71.0,245
2015-07-31,2015-07-31,75.0,76.0,81.0,75.0,196
2015-08-03,2015-08-03,80.0,80.0,82.0,71.0,258
2015-08-04,2015-08-04,76.0,82.0,82.0,76.0,203
2015-08-05,2015-08-05,79.0,78.0,81.0,77.0,213
2015-08-06,2015-08-06,80.0,80.0,82.0,76.0,427
2015-08-07,2015-08-07,82.0,79.0,83.0,79.0,717
2015-08-10,2015-08-10,76.0,82.0,83.0,75.0,381
2015-08-11,2015-08-11,78.0,77.0,83.0,75.0,500
2015-08-12,2015-08-12,78.0,75.0,84.0,75.0,152
2015-08-13,2015-08-13,75.0,80.0,81.0,75.0,375
2015-08-14,2015-08-14,77.0,81.0,83.0,76.0,413
2015-08-17,2015-08-17,83.0,84.0,84.0,78.0,420
2015-08-18,2015-08-18,80.0,83.0,83.0,79.0,204
2015-08-19,2015-08-19,80.0,80.0,83.0,78.0,329
2015-08-20,2015-08-20,78.0,80.0,82.0,75.0,187
2015-08-21,2015-08-21,71.0,80.0,80.0,67.0,1625
2015-08-24,2015-08-24,65.0,67.0,71.0,65.0,549
2015-08-25,2015-08-25,70.0,75.0,75.0,64.0,477
2015-08-26,2015-08-26,68.0,70.0,70.0,64.0,393
2015-08-27,2015-08-27,70.0,70.0,70.0,67.0,603
2015-08-28,2015-08-28,70.0,68.0,70.0,68.0,471
2015-08-31,2015-08-31,67.0,68.0,70.0,63.0,479
2015-09-01,2015-09-01,66.0,67.0,67.0,63.0,117
2015-09-02,2015-09-02,65.0,67.0,67.0,63.0,63
2015-09-03,2015-09-03,65.0,67.0,67.0,64.0,266
2015-09-04,2015-09-04,63.0,65.0,66.0,63.0,379
2015-09-08,2015-09-08,64.0,64.0,67.0,64.0,143
2015-09-09,2015-09-09,66.0,65.0,66.0,64.0,229
2015-09-10,2015-09-10,64.0,63.0,65.0,63.0,60
2015-09-11,2015-09-11,62.0,64.0,64.0,62.0,422
2015-09-14,2015-09-14,64.0,62.0,64.0,59.0,612
2015-09-15,2015-09-15,60.0,62.0,64.0,60.0,93
2015-09-16,2015-09-16,52.0,60.0,61.0,52.0,1331
2015-09-17,2015-09-17,52.0,50.0,54.0,49.0,752
2015-09-18,2015-09-18,50.0,50.0,52.0,49.0,230
2015-09-21,2015-09-21,48.0,50.0,50.0,45.0,581
2015-09-22,2015-09-22,52.0,47.0,53.0,46.0,2648
2015-09-23,2015-09-23,50.0,54.0,54.0,50.0,768
2015-09-24,2015-09-24,50.0,50.0,52.0,50.0,175
2015-09-25,2015-09-25,51.0,52.0,52.0,50.0,186
2015-09-28,2015-09-28,50.0,50.0,52.0,50.0,319
2015-09-29,2015-09-29,50.0,52.0,52.0,47.0,1200
2015-09-30,2015-09-30,50.0,48.0,50.0,48.0,107
2015-10-01,2015-10-01,50.0,49.0,50.0,49.0,357
2015-10-02,2015-10-02,49.0,49.0,49.0,46.0,229
2015-10-05,2015-10-05,50.0,50.0,50.0,47.0,269
2015-10-06,2015-10-06,50.0,48.0,50.0,46.0,157
2015-10-07,2015-10-07,52.0,50.0,52.0,46.0,161
2015-10-08,2015-10-08,52.0,48.0,52.0,48.0,162
2015-10-09,2015-10-09,47.0,50.0,52.0,45.0,2602
2015-10-12,2015-10-12,47.0,46.0,48.0,45.0,250
2015-10-13,2015-10-13,47.0,46.0,47.0,46.0,921
2015-10-14,2015-10-14,47.0,47.0,50.0,45.0,1180
2015-10-15,2015-10-15,47.0,54.0,54.0,46.0,689
2015-10-16,2015-10-16,47.0,47.0,47.0,46.0,1376
2015-10-19,2015-10-19,47.0,47.0,49.0,46.0,1219
