date,date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-12-31,2014-12-31,5.800000190734863,5.5,6.099999904632568,5.5,31400
2015-01-02,2015-01-02,6.0,5.800000190734863,6.199999809265137,5.800000190734863,26860
2015-01-05,2015-01-05,6.050000190734863,6.150000095367432,6.150000095367432,5.849999904632568,13480
2015-01-06,2015-01-06,5.849999904632568,6.099999904632568,6.099999904632568,5.800000190734863,9680
2015-01-07,2015-01-07,6.0,5.900000095367432,6.0,5.75,11120
2015-01-08,2015-01-08,5.900000095367432,5.75,5.949999809265137,5.75,6780
2015-01-09,2015-01-09,5.900000095367432,5.650000095367432,5.900000095367432,5.550000190734863,7320
2015-01-12,2015-01-12,5.75,6.0,6.0,5.550000190734863,29640
2015-01-13,2015-01-13,5.900000095367432,6.300000190734863,7.699999809265137,5.800000190734863,218500
2015-01-14,2015-01-14,5.949999809265137,6.0,6.0,5.550000190734863,25320
2015-01-15,2015-01-15,6.5,5.900000095367432,6.5,5.800000190734863,53020
2015-01-16,2015-01-16,6.199999809265137,6.5,6.5,6.050000190734863,17260
2015-01-20,2015-01-20,6.150000095367432,6.400000095367432,6.400000095367432,6.099999904632568,17760
2015-01-21,2015-01-21,5.949999809265137,6.199999809265137,6.300000190734863,5.949999809265137,17620
2015-01-22,2015-01-22,5.800000190734863,6.0,6.050000190734863,5.800000190734863,22800
2015-01-23,2015-01-23,6.099999904632568,5.949999809265137,6.199999809265137,5.949999809265137,12320
2015-01-26,2015-01-26,6.199999809265137,5.949999809265137,6.25,5.949999809265137,8500
2015-01-27,2015-01-27,6.25,6.25,6.349999904632568,5.900000095367432,7580
2015-01-28,2015-01-28,6.050000190734863,6.150000095367432,6.300000190734863,6.050000190734863,5880
2015-01-29,2015-01-29,5.900000095367432,6.050000190734863,6.199999809265137,5.900000095367432,11500
2015-01-30,2015-01-30,8.800000190734863,7.300000190734863,14.300000190734863,6.800000190734863,6401120
2015-02-02,2015-02-02,9.25,9.5,9.550000190734863,8.25,627260
