date,date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-12-31,2014-12-31,8.579999923706055,8.819999694824219,9.140000343322754,8.539999961853027,31950.0
2015-01-02,2015-01-02,8.859999656677246,8.680000305175781,9.260000228881836,8.600000381469727,43950.0
2015-01-05,2015-01-05,8.420000076293945,8.859999656677246,8.979999542236328,7.940000057220459,66150.0
2015-01-06,2015-01-06,7.940000057220459,8.239999771118164,8.479999542236328,7.900000095367432,36450.0
2015-01-07,2015-01-07,7.760000228881836,8.0600004196167,8.0600004196167,7.440000057220459,50750.0
2015-01-08,2015-01-08,7.860000133514404,7.820000171661377,8.119999885559082,7.539999961853027,17800.0
2015-01-09,2015-01-09,7.71999979019165,7.639999866485596,8.079999923706055,7.599999904632568,24300.0
2015-01-12,2015-01-12,7.760000228881836,7.599999904632568,7.920000076293945,7.519999980926514,30450.0
2015-01-13,2015-01-13,7.559999942779541,7.619999885559082,8.15999984741211,7.539999961853027,37250.0
2015-01-14,2015-01-14,7.059999942779541,7.539999961853027,7.539999961853027,7.059999942779541,30250.0
2015-01-15,2015-01-15,7.079999923706055,7.380000114440918,7.380000114440918,7.0,25050.0
2015-01-16,2015-01-16,7.760000228881836,7.179999828338623,8.0,7.159999847412109,62450.0
2015-01-20,2015-01-20,7.519999980926514,7.599999904632568,7.699999809265137,7.400000095367432,7200.0
2015-01-21,2015-01-21,7.5,7.460000038146973,7.619999885559082,7.420000076293945,13700.0
2015-01-22,2015-01-22,7.5,7.539999961853027,7.78000020980835,7.440000057220459,14850.0
2015-01-23,2015-01-23,7.519999980926514,7.400000095367432,7.760000228881836,7.400000095367432,16950.0
2015-01-26,2015-01-26,6.920000076293945,7.699999809265137,7.800000190734863,6.5,68450.0
2015-01-27,2015-01-27,6.840000152587891,6.880000114440918,7.019999980926514,6.599999904632568,8650.0
2015-01-28,2015-01-28,6.679999828338623,7.0,7.019999980926514,6.679999828338623,8400.0
2015-01-29,2015-01-29,6.78000020980835,6.78000020980835,6.960000038146973,6.71999979019165,14000.0
2015-01-30,2015-01-30,7.059999942779541,6.900000095367432,7.119999885559082,6.78000020980835,16750.0
2015-02-02,2015-02-02,7.239999771118164,7.019999980926514,7.28000020980835,6.760000228881836,11350.0
2015-02-03,2015-02-03,7.519999980926514,7.320000171661377,7.699999809265137,7.199999809265137,27950.0
2015-02-04,2015-02-04,7.800000190734863,7.579999923706055,7.800000190734863,7.440000057220459,20900.0
2015-02-05,2015-02-05,8.020000457763672,7.539999961853027,8.460000038146973,7.519999980926514,31100.0
2015-02-06,2015-02-06,6.300000190734863,6.519999980926514,6.800000190734863,6.099999904632568,119450.0
2015-02-09,2015-02-09,6.460000038146973,6.340000152587891,6.659999847412109,6.300000190734863,35100.0
2015-02-10,2015-02-10,6.21999979019165,6.71999979019165,6.71999979019165,6.21999979019165,10150.0
2015-02-11,2015-02-11,6.320000171661377,6.21999979019165,6.460000038146973,6.21999979019165,10550.0
2015-02-12,2015-02-12,6.360000133514404,6.340000152587891,6.360000133514404,6.300000190734863,8550.0
2015-02-13,2015-02-13,6.099999904632568,6.300000190734863,6.320000171661377,6.099999904632568,15100.0
2015-02-17,2015-02-17,6.340000152587891,6.179999828338623,6.360000133514404,6.019999980926514,12250.0
2015-02-18,2015-02-18,6.159999847412109,6.199999809265137,6.199999809265137,6.059999942779541,1850.0
2015-02-19,2015-02-19,6.119999885559082,6.099999904632568,6.260000228881836,6.039999961853027,7200.0
2015-02-20,2015-02-20,6.400000095367432,6.039999961853027,6.400000095367432,6.039999961853027,10550.0
2015-02-23,2015-02-23,6.400000095367432,6.360000133514404,6.400000095367432,6.300000190734863,3000.0
2015-02-24,2015-02-24,6.260000228881836,6.340000152587891,6.400000095367432,6.21999979019165,2100.0
2015-02-25,2015-02-25,6.199999809265137,6.179999828338623,6.400000095367432,6.179999828338623,1850.0
2015-02-26,2015-02-26,6.199999809265137,6.179999828338623,6.239999771118164,6.179999828338623,3050.0
2015-02-27,2015-02-27,6.239999771118164,6.239999771118164,6.260000228881836,6.099999904632568,8350.0
2015-03-02,2015-03-02,6.559999942779541,6.300000190734863,6.699999809265137,6.21999979019165,23600.0
2015-03-03,2015-03-03,6.260000228881836,6.260000228881836,6.460000038146973,6.21999979019165,11150.0
2015-03-04,2015-03-04,6.21999979019165,6.21999979019165,6.460000038146973,6.059999942779541,4600.0
2015-03-05,2015-03-05,6.179999828338623,6.139999866485596,6.460000038146973,6.119999885559082,9950.0
2015-03-06,2015-03-06,6.159999847412109,6.159999847412109,6.320000171661377,6.099999904632568,11700.0
2015-03-09,2015-03-09,6.059999942779541,6.119999885559082,6.159999847412109,6.019999980926514,11150.0
2015-03-10,2015-03-10,5.599999904632568,6.019999980926514,6.019999980926514,5.539999961853027,34300.0
2015-03-11,2015-03-11,5.400000095367432,5.5,5.599999904632568,5.019999980926514,25750.0
2015-03-12,2015-03-12,5.539999961853027,5.400000095367432,5.739999771118164,5.300000190734863,6800.0
2015-03-13,2015-03-13,5.300000190734863,5.400000095367432,5.519999980926514,5.300000190734863,12400.0
2015-03-16,2015-03-16,5.199999809265137,5.300000190734863,5.460000038146973,5.179999828338623,15900.0
2015-03-17,2015-03-17,5.099999904632568,5.179999828338623,5.260000228881836,5.039999961853027,4950.0
2015-03-18,2015-03-18,5.059999942779541,5.099999904632568,5.119999885559082,5.039999961853027,6650.0
2015-03-19,2015-03-19,5.0,5.119999885559082,5.119999885559082,5.0,7000.0
2015-03-20,2015-03-20,4.679999828338623,5.099999904632568,5.099999904632568,4.619999885559082,16150.0
2015-03-23,2015-03-23,4.820000171661377,4.599999904632568,5.039999961853027,4.599999904632568,14650.0
