date,date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-12-31,2014-12-31,55.0,55.0,55.0,55.0,0.0
2015-01-07,2015-01-07,58.0,58.0,58.0,58.0,10.0
2015-01-08,2015-01-08,58.0,58.0,58.0,58.0,0.0
2015-01-14,2015-01-14,54.0,56.0,56.0,54.0,60.0
2015-01-15,2015-01-15,54.0,54.0,54.0,54.0,0.0
2015-01-26,2015-01-26,53.0,53.0,53.0,53.0,30.0
2015-01-27,2015-01-27,53.0,53.0,53.0,53.0,0.0
2015-02-03,2015-02-03,53.0,53.0,53.0,53.0,10.0
2015-02-04,2015-02-04,52.0,52.0,52.0,52.0,20.0
2015-02-05,2015-02-05,52.0,52.0,52.0,52.0,0.0
2015-02-10,2015-02-10,51.0,51.0,51.0,51.0,200.0
2015-02-11,2015-02-11,51.0,51.0,51.0,51.0,0.0
2015-02-13,2015-02-13,51.0,51.0,51.0,51.0,10.0
2015-02-25,2015-02-25,55.0,50.0,55.0,50.0,210.0
2015-03-10,2015-03-10,59.0,52.099998474121094,59.0,52.0,120.0
2015-03-11,2015-03-11,59.0,59.0,59.0,59.0,0.0
2015-03-18,2015-03-18,57.0,55.79999923706055,57.0,55.79999923706055,50.0
2015-03-19,2015-03-19,57.0,57.0,57.0,57.0,0.0
2015-04-09,2015-04-09,58.0,56.0,58.0,56.0,20.0
2015-04-16,2015-04-16,60.5,57.0,60.5,57.0,30.0
2015-04-17,2015-04-17,60.5,60.5,60.5,60.5,0.0
2015-04-23,2015-04-23,57.0,57.0,57.0,57.0,50.0
2015-05-05,2015-05-05,58.0,58.0,58.0,58.0,30.0
2015-05-07,2015-05-07,60.5,60.5,60.5,59.0,70.0
2015-05-08,2015-05-08,60.5,60.5,60.5,59.0,140.0
2015-05-11,2015-05-11,62.0,60.0,62.0,60.0,250.0
2015-05-12,2015-05-12,62.0,61.0,62.0,61.0,80.0
2015-05-13,2015-05-13,63.900001525878906,60.0,63.900001525878906,60.0,110.0
2015-05-14,2015-05-14,63.900001525878906,63.900001525878906,63.900001525878906,63.900001525878906,0.0
2015-05-15,2015-05-15,63.900001525878906,63.900001525878906,63.900001525878906,63.900001525878906,20.0
2015-05-19,2015-05-19,65.0,65.0,65.0,65.0,20.0
2015-05-20,2015-05-20,63.0,63.0,63.0,63.0,20.0
2015-05-21,2015-05-21,63.0,63.0,63.0,63.0,0.0
2015-05-29,2015-05-29,63.0,63.0,63.0,63.0,10.0
2015-06-22,2015-06-22,62.0,62.0,62.0,62.0,10.0
2015-06-24,2015-06-24,62.0,62.0,62.0,62.0,0.0
2015-06-29,2015-06-29,61.5,61.5,61.5,61.5,10.0
2015-06-30,2015-06-30,61.5,61.5,61.5,61.5,0.0
2015-07-06,2015-07-06,60.0,61.0,61.0,60.0,50.0
2015-07-07,2015-07-07,60.0,60.0,60.0,60.0,0.0
2015-08-11,2015-08-11,59.5,59.70000076293945,59.70000076293945,59.5,30.0
2015-08-12,2015-08-12,59.5,59.5,59.5,59.5,0.0
2015-08-24,2015-08-24,58.5,58.5,58.5,58.5,30.0
2015-08-25,2015-08-25,57.0,58.0,58.0,57.0,40.0
2015-08-26,2015-08-26,57.0,57.0,57.0,57.0,10.0
