date,date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-12-31,2014-12-31,23.75,23.5,23.75,22.75,3052.0
2015-01-02,2015-01-02,25.0,23.5,25.0,22.75,1204.0
2015-01-05,2015-01-05,25.0,25.0,26.0,24.5,460.0
2015-01-06,2015-01-06,26.25,25.0,26.25,23.75,2132.0
2015-01-07,2015-01-07,26.0,26.25,26.25,25.5,1788.0
2015-01-08,2015-01-08,26.25,25.5,27.0,25.5,1188.0
2015-01-09,2015-01-09,26.25,26.25,26.25,25.5,1100.0
2015-01-12,2015-01-12,26.25,26.25,26.25,25.0,832.0
2015-01-13,2015-01-13,26.25,26.25,26.25,26.0,144.0
2015-01-14,2015-01-14,26.0,26.25,26.25,26.0,296.0
2015-01-15,2015-01-15,26.25,26.0,26.25,25.5,460.0
2015-01-16,2015-01-16,26.0,26.0,26.0,26.0,232.0
2015-01-20,2015-01-20,26.25,25.5,26.25,25.5,992.0
2015-01-21,2015-01-21,26.25,26.25,26.25,26.0,320.0
2015-01-22,2015-01-22,26.25,26.25,26.25,26.0,416.0
2015-01-23,2015-01-23,26.25,26.25,26.25,26.0,172.0
2015-01-26,2015-01-26,26.0,26.0,26.0,26.0,156.0
2015-01-27,2015-01-27,26.0,26.0,26.25,25.75,260.0
2015-01-28,2015-01-28,26.25,26.0,26.25,26.0,552.0
2015-01-29,2015-01-29,26.25,26.25,26.25,26.0,112.0
2015-01-30,2015-01-30,26.25,26.0,26.25,26.0,444.0
2015-02-02,2015-02-02,27.25,25.75,27.25,25.75,2088.0
2015-02-03,2015-02-03,29.25,27.25,29.25,27.25,680.0
2015-02-04,2015-02-04,29.75,29.25,29.75,29.0,720.0
2015-02-05,2015-02-05,29.5,29.75,29.75,29.25,744.0
2015-02-06,2015-02-06,29.5,29.5,29.5,29.25,344.0
2015-02-09,2015-02-09,30.0,29.5,30.0,29.0,560.0
2015-02-10,2015-02-10,30.0,30.0,30.0,29.5,776.0
2015-02-11,2015-02-11,30.25,30.0,30.25,29.75,932.0
2015-02-12,2015-02-12,30.25,30.25,30.25,29.75,884.0
2015-02-13,2015-02-13,30.25,30.25,30.25,29.75,1316.0
2015-02-17,2015-02-17,30.5,30.75,30.75,30.25,904.0
2015-02-18,2015-02-18,30.5,30.5,30.75,30.5,236.0
2015-02-19,2015-02-19,30.75,30.0,31.0,30.0,1304.0
2015-02-20,2015-02-20,32.0,31.0,32.0,30.75,2636.0
2015-02-23,2015-02-23,31.5,32.0,32.0,30.5,2832.0
2015-02-24,2015-02-24,31.75,31.75,32.0,31.0,872.0
2015-02-25,2015-02-25,33.5,31.75,33.5,30.75,3740.0
2015-02-26,2015-02-26,33.75,33.5,33.75,30.5,3732.0
2015-02-27,2015-02-27,33.0,33.75,33.75,32.25,956.0
2015-03-02,2015-03-02,33.0,33.0,33.5,32.75,1040.0
2015-03-03,2015-03-03,33.75,33.25,33.75,33.0,1368.0
