date,date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-12-31,2014-12-31,369.5,373.0,379.5,361.0,65676
2015-01-02,2015-01-02,416.0,379.0,419.0,376.5,176370
2015-01-05,2015-01-05,417.5,420.5,441.5,408.5,156322
2015-01-06,2015-01-06,425.0,408.0,425.5,399.5,153920
2015-01-07,2015-01-07,412.0,430.0,432.5,408.0,80018
2015-01-08,2015-01-08,405.5,406.0,407.5,391.0,142934
2015-01-09,2015-01-09,396.0,402.0,405.0,394.0,97436
2015-01-12,2015-01-12,370.0,396.0,398.0,369.5,135268
2015-01-13,2015-01-13,375.0,376.5,386.0,368.5,94360
2015-01-14,2015-01-14,362.5,370.0,372.0,355.5,96010
2015-01-15,2015-01-15,330.0,364.5,371.0,325.0,141954
2015-01-16,2015-01-16,340.5,336.0,351.5,335.0,91012
2015-01-20,2015-01-20,333.5,342.5,343.0,333.0,117558
2015-01-21,2015-01-21,345.0,334.0,362.0,334.0,169144
2015-01-22,2015-01-22,356.5,347.0,359.0,344.0,60100
2015-01-23,2015-01-23,342.0,359.5,359.5,340.5,72740
2015-01-26,2015-01-26,352.5,345.0,359.5,345.0,110716
2015-01-27,2015-01-27,345.5,345.0,351.0,341.0,62692
2015-01-28,2015-01-28,330.5,343.0,346.5,329.5,90702
2015-01-29,2015-01-29,320.5,330.5,336.0,319.0,95146
2015-01-30,2015-01-30,305.5,322.0,322.0,305.0,119084
2015-02-02,2015-02-02,305.5,309.5,312.0,299.0,138680
2015-02-03,2015-02-03,319.0,306.5,324.5,306.5,137834
2015-02-04,2015-02-04,328.5,349.5,357.0,327.5,287270
2015-02-05,2015-02-05,326.0,327.5,330.0,321.5,128222
2015-02-06,2015-02-06,351.0,325.0,355.0,325.0,173044
2015-02-09,2015-02-09,346.5,350.0,358.5,340.0,170174
2015-02-10,2015-02-10,332.5,351.0,355.0,327.0,254008
2015-02-11,2015-02-11,335.5,335.0,341.5,331.5,409180
2015-02-12,2015-02-12,337.5,337.5,341.0,334.0,124964
2015-02-13,2015-02-13,337.0,340.0,340.5,333.5,98352
2015-02-17,2015-02-17,352.0,337.0,352.5,334.0,78230
2015-02-18,2015-02-18,365.0,354.0,376.0,354.0,289568
2015-02-19,2015-02-19,368.5,365.0,371.5,360.5,99008
2015-02-20,2015-02-20,357.0,369.0,370.0,353.0,77994
2015-02-23,2015-02-23,358.5,357.5,374.0,356.0,102044
2015-02-24,2015-02-24,363.0,357.5,366.0,352.0,91684
2015-02-25,2015-02-25,347.0,363.5,363.5,346.5,53426
2015-02-26,2015-02-26,357.5,347.0,359.5,347.0,68168
2015-02-27,2015-02-27,342.0,357.5,363.0,342.0,311902
2015-03-02,2015-03-02,322.5,340.5,350.0,322.0,232012
2015-03-03,2015-03-03,309.5,320.5,322.5,308.0,163138
2015-03-04,2015-03-04,300.5,312.0,312.5,296.0,176868
2015-03-05,2015-03-05,307.5,303.0,313.0,298.0,188996
2015-03-06,2015-03-06,307.0,308.5,311.0,304.5,87358
2015-03-09,2015-03-09,304.5,309.5,316.5,302.0,173048
2015-03-10,2015-03-10,294.5,301.0,306.0,291.5,122904
2015-03-11,2015-03-11,291.5,291.0,293.5,282.0,90634
2015-03-12,2015-03-12,282.0,294.5,294.5,282.0,93128
2015-03-13,2015-03-13,270.5,280.0,284.0,266.0,373926
2015-03-16,2015-03-16,267.5,265.5,275.0,262.5,163176
2015-03-17,2015-03-17,270.5,265.5,275.5,265.0,78864
2015-03-18,2015-03-18,275.0,272.0,279.5,271.5,193474
2015-03-19,2015-03-19,283.5,275.0,288.0,274.0,400046
2015-03-20,2015-03-20,284.0,285.0,289.0,280.0,327762
2015-03-23,2015-03-23,305.5,289.5,309.0,286.0,246112
2015-03-24,2015-03-24,303.5,303.0,313.0,300.5,81712
2015-03-25,2015-03-25,297.0,303.5,304.5,288.5,203056
2015-03-26,2015-03-26,294.0,295.0,301.0,289.5,304706
2015-03-27,2015-03-27,298.0,301.5,309.0,295.5,151734
2015-03-30,2015-03-30,317.5,298.0,332.0,298.0,643148
2015-03-31,2015-03-31,300.0,310.0,315.0,291.0,230080
2015-04-01,2015-04-01,304.5,299.5,307.5,291.5,122424
2015-04-02,2015-04-02,309.0,305.5,310.5,299.5,81510
2015-04-06,2015-04-06,326.0,307.5,327.5,304.0,139626
2015-04-07,2015-04-07,331.0,325.5,335.0,325.0,120128
2015-04-08,2015-04-08,369.5,343.5,380.0,343.5,377732
2015-04-09,2015-04-09,369.0,380.0,389.5,352.5,238142
2015-04-10,2015-04-10,362.0,369.0,375.5,360.0,122100
2015-04-13,2015-04-13,362.5,373.5,374.0,360.5,110288
