date,date,OPEN,HIGH,LOW,CLOSE,VOLUME
2021-01-28,2021-01-28,16.100000381469727,35.0,35.0,11.100000381469727,304300.0
2021-01-29,2021-01-29,12.6899995803833,16.1200008392334,16.1200008392334,12.079999923706055,138800.0
2021-02-01,2021-02-01,12.5,13.220000267028809,14.25,12.0,63500.0
2021-02-02,2021-02-02,12.100000381469727,12.670000076293945,12.699999809265137,11.550000190734863,74600.0
2021-02-03,2021-02-03,13.829999923706055,12.0,14.6899995803833,11.329999923706055,110400.0
2021-02-04,2021-02-04,18.020000457763672,13.739999771118164,19.940000534057617,13.069999694824219,359900.0
2021-02-05,2021-02-05,19.729999542236328,18.3700008392334,19.917999267578125,18.3700008392334,66600.0
2021-02-08,2021-02-08,25.0,20.950000762939453,26.93000030517578,20.690000534057617,316300.0
2021-02-09,2021-02-09,29.209999084472656,25.530000686645508,31.5,25.530000686645508,348200.0
2021-02-10,2021-02-10,28.690000534057617,30.0,32.185001373291016,25.61199951171875,64000.0
2021-02-11,2021-02-11,27.139999389648438,29.06999969482422,30.790000915527344,26.110000610351562,38900.0
2021-02-12,2021-02-12,25.290000915527344,26.010000228881836,26.06999969482422,23.40999984741211,39900.0
2021-02-16,2021-02-16,28.760000228881836,26.549999237060547,32.880001068115234,26.549999237060547,55400.0
2021-02-17,2021-02-17,34.25,29.0,35.63999938964844,29.0,423900.0
2021-02-18,2021-02-18,39.560001373291016,36.0,42.79999923706055,34.25,67600.0
2021-02-19,2021-02-19,49.290000915527344,41.0099983215332,49.34000015258789,41.0099983215332,67700.0
2021-02-22,2021-02-22,56.18000030517578,51.04999923706055,57.689998626708984,40.279998779296875,358600.0
2021-02-23,2021-02-23,62.720001220703125,51.209999084472656,65.0,48.33100128173828,123900.0
2021-02-24,2021-02-24,59.5099983215332,61.0,61.0,53.060001373291016,55200.0
2021-02-25,2021-02-25,69.69000244140625,57.880001068115234,69.6969985961914,55.0099983215332,68000.0
2021-02-26,2021-02-26,66.08999633789062,66.5,72.0,58.40999984741211,99600.0
2021-03-01,2021-03-01,79.8499984741211,67.25,81.95999908447266,66.12999725341797,226100.0
2021-03-02,2021-03-02,94.7699966430664,78.0199966430664,97.79000091552734,76.12000274658203,86200.0
2021-03-03,2021-03-03,75.01000213623047,96.38999938964844,103.87000274658203,65.26000213623047,343800.0
2021-03-04,2021-03-04,72.94000244140625,75.05000305175781,91.72000122070312,63.040000915527344,98600.0
2021-03-05,2021-03-05,58.060001373291016,73.75,73.75,53.19900131225586,65600.0
2021-03-08,2021-03-08,61.400001525878906,58.060001373291016,76.08999633789062,57.70000076293945,76700.0
2021-03-09,2021-03-09,62.209999084472656,64.05000305175781,68.33000183105469,61.0,32400.0
2021-03-10,2021-03-10,63.439998626708984,66.1500015258789,67.87699890136719,62.0,30600.0
2021-03-11,2021-03-11,61.249000549316406,63.07600021362305,64.1449966430664,58.0,36900.0
2021-03-12,2021-03-12,65.06999969482422,61.150001525878906,70.2699966430664,58.518001556396484,45100.0
2021-03-15,2021-03-15,86.80999755859375,66.20999908447266,87.5,66.20999908447266,59700.0
2021-03-16,2021-03-16,87.45999908447266,89.02999877929688,96.44000244140625,80.05000305175781,88900.0
2021-03-17,2021-03-17,84.0999984741211,84.75,86.5,79.83000183105469,29500.0
2021-03-18,2021-03-18,85.0,85.73500061035156,90.19999694824219,82.17500305175781,23200.0
2021-03-19,2021-03-19,84.43000030517578,81.19999694824219,85.46499633789062,81.19999694824219,17700.0
2021-03-22,2021-03-22,83.0,83.04000091552734,86.1989974975586,80.72000122070312,24200.0
2021-03-23,2021-03-23,82.55000305175781,84.38999938964844,85.52999877929688,81.02999877929688,20200.0
2021-03-24,2021-03-24,81.3499984741211,82.70999908447266,84.97000122070312,81.13999938964844,22300.0
2021-03-25,2021-03-25,91.47000122070312,81.02999877929688,92.0,80.05000305175781,91500.0
2021-03-26,2021-03-26,86.5999984741211,91.0,91.5,82.62999725341797,16800.0
2021-03-29,2021-03-29,86.01000213623047,86.25,86.25,83.69999694824219,32400.0
2021-03-30,2021-03-30,82.93000030517578,86.01000213623047,86.01000213623047,82.6500015258789,4100.0
2021-03-31,2021-03-31,86.75,82.62999725341797,88.56999969482422,82.62999725341797,8300.0
2021-04-01,2021-04-01,91.31999969482422,90.0,92.0,87.93599700927734,8500.0
2021-04-05,2021-04-05,94.21499633789062,91.0999984741211,95.0,91.0,12300.0
2021-04-06,2021-04-06,95.98999786376953,93.19999694824219,97.0,91.0,18700.0
2021-04-07,2021-04-07,90.19999694824219,93.33000183105469,96.41000366210938,87.33999633789062,33200.0
2021-04-08,2021-04-08,93.94000244140625,89.91999816894531,93.94000244140625,89.91999816894531,5000.0
2021-04-09,2021-04-09,87.68000030517578,92.5,93.5999984741211,86.5,19100.0
2021-04-12,2021-04-12,18.0,90.68000030517578,97.91999816894531,12.149999618530273,24365200.0
2021-04-13,2021-04-13,18.260000228881836,20.149999618530273,24.969999313354492,15.40999984741211,20550000.0
2021-04-14,2021-04-14,14.25,17.0,17.399999618530273,14.0,3776900.0
2021-04-15,2021-04-15,12.369999885559082,14.0,14.0,11.760000228881836,2063600.0
2021-04-16,2021-04-16,16.200000762939453,11.59000015258789,17.5,11.100000381469727,19352700.0
2021-04-19,2021-04-19,12.800000190734863,13.880000114440918,15.350000381469727,12.680000305175781,2710400.0
2021-04-20,2021-04-20,12.520000457763672,12.904999732971191,14.479999542236328,12.020000457763672,1474200.0
