,id,company_name,update_day,year_change_percent
0,1,JG,2018,nan
1,2,JG,2019,-21.387277565102885
2,3,JG,2020,-60.882352776180916
3,4,JG,2021,22.18044718540154
4,5,FEDU,2017,nan
5,6,FEDU,2018,-10.0
6,7,FEDU,2019,-72.44444423251682
7,8,FEDU,2020,-34.274194246152184
8,9,FEDU,2021,-38.03681021976123
9,10,JD,2014,nan
10,11,JD,2015,1.3129069236420325
11,12,JD,2016,25.26998046594839
12,13,JD,2017,-11.586209001212284
13,14,JD,2018,63.41654650270808
14,15,JD,2019,-51.83770985613948
15,16,JD,2020,77.89891468272796
16,17,JD,2021,137.21448479806014
17,18,ZEPP,2018,nan
18,19,ZEPP,2019,-9.306738528850913
19,20,ZEPP,2020,22.198951237884216
20,21,ZEPP,2021,3.084829942790982
21,22,ZCMD,2020,nan
22,23,ZCMD,2021,-56.05263215683174
23,24,HLG,2015,nan
24,25,HLG,2016,28.00000508626302
25,26,HLG,2017,-23.437504035730996
26,27,HLG,2018,507.21090676458067
27,28,HLG,2019,8.290389142703436
28,29,HLG,2020,34.03682252226226
29,30,HLG,2021,0.5402878677314057
30,31,CXDC,2014,nan
31,32,CXDC,2015,4.844961383581868
32,33,CXDC,2016,-23.844731945234766
33,34,CXDC,2017,-2.9126186624346984
34,35,CXDC,2018,13.750004768371582
35,36,CXDC,2019,-65.71428840912668
36,37,CXDC,2020,14.102566453832226
37,38,CXDC,2021,-44.94381826824796
38,39,LITB,2014,nan
39,40,LITB,2015,0.6399993896484375
40,41,LITB,2016,-56.12082659456545
41,42,LITB,2017,5.434786082816421
42,43,LITB,2018,-28.865983773608868
43,44,LITB,2019,-50.724637013460516
44,45,LITB,2020,0.9803912402207475
45,46,LITB,2021,129.1262097717825
46,47,VIPS,2014,nan
47,48,VIPS,2015,0.4714518170168268
48,49,VIPS,2016,-27.215850802776973
49,50,VIPS,2017,-21.20343861073426
50,51,VIPS,2018,6.63635947487571
51,52,VIPS,2019,-56.0102297631603
52,53,VIPS,2020,176.55040464624227
53,54,VIPS,2021,92.64189831305912
54,55,SY,2019,nan
55,56,SY,2020,-27.99999930641868
56,57,SY,2021,-11.700339477548637
57,58,PBTS,2019,nan
58,59,PBTS,2020,-48.627452263690955
59,60,PBTS,2021,-12.595417485510156
60,61,CSIQ,2014,nan
61,62,CSIQ,2015,-1.0385104490679329
62,63,CSIQ,2016,19.41407286305029
63,64,CSIQ,2017,-55.21786971293041
64,65,CSIQ,2018,38.021257502680115
65,66,CSIQ,2019,-17.06160725090822
66,67,CSIQ,2020,57.42857796805246
67,68,CSIQ,2021,135.1633379222778
68,69,GDS,2016,nan
69,70,GDS,2017,-16.599998474121094
70,71,GDS,2018,170.5035857696243
71,72,GDS,2019,-3.590423249633474
72,73,GDS,2020,138.98850364246587
73,74,GDS,2021,77.20277303101479
74,75,ONE,2018,nan
75,76,ONE,2019,-23.359843771848123
76,77,ONE,2020,-13.61867944928339
77,78,ONE,2021,-45.495492528405464
78,79,SPI,2016,nan
79,80,SPI,2017,-85.0
80,81,SPI,2018,-65.55555661519368
81,82,SPI,2019,-87.38709630157398
82,83,SPI,2020,134.01534918679675
83,84,SPI,2021,316.39342660450325
84,85,BABA,2014,nan
85,86,BABA,2015,-1.1283689563041504
86,87,BABA,2016,-26.6679645270352
87,88,BABA,2017,17.15882079477832
88,89,BABA,2018,99.47773989066268
89,90,BABA,2019,-24.285713665387863
90,91,BABA,2020,62.77531028575217
91,92,BABA,2021,3.9253718775026574
92,93,JT,2017,nan
93,94,JT,2018,-19.249999523162842
94,95,JT,2019,-37.151704043269056
95,96,JT,2020,-63.300491858710096
96,97,JT,2021,-77.18120795972422
97,98,WAFU,2019,nan
98,99,WAFU,2020,-62.5
99,100,WAFU,2021,157.99999237060547
100,101,CNEY,2021,nan
101,102,GURE,2014,nan
102,103,GURE,2015,5.45454892245206
